央视频道,#genre#
CCTV购物,http://222.70.145.55:10010/udp/239.45.3.79:5140
CCTV风云剧场,http://202.99.141.84:8686/rtp/239.253.92.22:6073
CCTV风云剧场,http://202.99.141.84:8686/rtp/239.253.93.251:6429
CCTV风云剧场,http://123.174.106.11:8888/udp/239.1.1.93:8093
CCTV风云剧场,http://1.70.34.15:8085/udp/239.1.1.93:8093
CCTV风云足球,http://202.99.141.84:8686/rtp/239.253.92.110:8061
CCTV风云足球,http://202.99.141.84:8686/rtp/239.253.93.254:6432
CCTV风云足球,http://123.174.106.11:8888/udp/239.1.1.101:8101
CCTV风云足球,http://1.70.34.15:8085/udp/239.1.1.101:8101
CCTV风云音乐,http://202.99.141.84:8686/rtp/239.253.92.111:8060
CCTV风云音乐,http://202.99.141.84:8686/rtp/239.253.93.253:6431
CCTV风云音乐高请,http://123.174.106.11:8888/udp/239.1.1.96:8096
CCTV风云音乐高请,http://1.70.34.15:8085/udp/239.1.1.96:8096
CCTV高尔夫网球网球,http://123.174.106.11:8888/udp/239.1.1.102:8102
CCTV高尔夫网球网球,http://1.70.34.15:8085/udp/239.1.1.102:8102
CGTN,http://180.158.201.25:2048/udp/239.45.1.194:5140
CGTN,http://113.109.250.162:9999/udp/239.77.0.45:5146
CGTN,http://113.109.250.162:9999/udp/239.77.1.27:5146
CGTN,http://222.70.145.55:10010/udp/239.45.1.194:5140
CGTN俄语,http://202.99.141.84:8686/rtp/239.253.93.199:6377
CGTN俄语,http://113.109.250.162:9999/udp/239.253.43.201:5146
CGTN国际,http://202.99.141.84:8686/rtp/239.253.92.15:8011
CGTN法语,http://202.99.141.84:8686/rtp/239.253.93.197:6375
CGTN法语,http://113.109.250.162:9999/udp/239.77.0.228:5146
CGTN英文记录,http://202.99.141.84:8686/rtp/239.253.93.195:6373
CGTN英语,http://113.109.250.162:9999/udp/239.77.0.199:5146
CGTN西班牙语,http://202.99.141.84:8686/rtp/239.253.93.196:6374
CGTN西班牙语,http://113.109.250.162:9999/udp/239.77.0.221:5146
CGTN阿拉伯语,http://202.99.141.84:8686/rtp/239.253.93.198:6376
CGTN阿拉伯语,http://113.109.250.162:9999/udp/239.253.43.200:5146
卫视频道,#genre#
中国教育1卫视,http://202.99.141.84:8686/rtp/239.253.92.211:6069
中国教育1卫视,http://180.158.201.25:2048/udp/239.45.1.125:5140
中国教育1卫视,http://222.70.145.55:10010/udp/239.45.1.125:5140
三沙卫视,http://123.174.106.11:8888/udp/239.1.1.70:8070
三沙卫视,http://1.70.34.15:8085/udp/239.1.1.70:8070
三沙卫视,http://180.158.201.25:2048/udp/239.45.1.82:5140
三沙卫视,http://222.70.145.55:10010/udp/239.45.1.82:5140
东南卫视,http://202.99.141.84:8686/rtp/239.253.92.201:6146
东南卫视,http://123.174.106.11:8888/udp/239.1.1.33:8033
东南卫视,http://1.70.34.15:8085/udp/239.1.1.33:8033
东南卫视,http://180.158.201.25:2048/udp/239.45.1.121:5140
东南卫视,http://113.109.250.162:9999/udp/239.77.0.65:5146
东南卫视,http://113.109.250.162:9999/udp/239.77.1.1:5146
东南卫视,http://113.109.250.162:9999/udp/239.77.1.213:5146
东南卫视,http://113.109.250.162:9999/udp/239.77.1.104:5146
东南卫视,http://222.70.145.55:10010/udp/239.45.1.121:5140
东方卫视,http://202.99.141.84:8686/rtp/239.253.92.89:8019
东方卫视,http://123.174.106.11:8888/udp/239.1.1.31:8031
东方卫视,http://1.70.34.15:8085/udp/239.1.1.31:8031
东方卫视,http://180.158.201.25:2048/udp/239.45.3.146:5140
东方卫视,http://113.109.250.162:9999/udp/239.77.0.49:5146
东方卫视,http://113.109.250.162:9999/udp/239.77.1.48:5146
东方卫视,http://113.109.250.162:9999/udp/239.77.1.218:5146
东方卫视,http://113.109.250.162:9999/udp/239.77.1.156:5146
东方卫视,http://113.109.250.162:9999/udp/239.77.0.98:5146
东方卫视,http://222.70.145.55:10010/udp/239.45.3.146:5140
云南卫视,http://123.174.106.11:8888/udp/239.1.1.54:8054
云南卫视,http://1.70.34.15:8085/udp/239.1.1.54:8054
云南卫视,http://180.158.201.25:2048/udp/239.45.0.4:5140
云南卫视,http://113.109.250.162:9999/udp/239.77.0.62:5146
云南卫视,http://113.109.250.162:9999/udp/239.77.1.72:5146
云南卫视,http://113.109.250.162:9999/udp/239.253.43.37:5146
云南卫视,http://113.109.250.162:9999/udp/239.253.43.100:5146
云南卫视,http://222.70.145.55:10010/udp/239.45.0.4:5140
兵团卫视,http://202.99.141.84:8686/rtp/239.253.93.176:6344
兵团卫视,http://123.174.106.11:8888/udp/239.1.1.58:8058
兵团卫视,http://1.70.34.15:8085/udp/239.1.1.58:8058
兵团卫视,http://180.158.201.25:2048/udp/239.45.1.117:5140
兵团卫视,http://222.70.145.55:10010/udp/239.45.1.117:5140
内蒙古卫视,http://123.174.106.11:8888/udp/239.1.1.60:8060
内蒙古卫视,http://1.70.34.15:8085/udp/239.1.1.60:8060
内蒙古卫视,http://180.158.201.25:2048/udp/239.45.1.238:5140
内蒙古卫视,http://222.70.145.55:10010/udp/239.45.1.238:5140
农林卫视,http://123.174.106.11:8888/udp/239.1.1.73:8073
农林卫视,http://1.70.34.15:8085/udp/239.1.1.73:8073
